id;name;city;country;longitude;latitude
10;Estación de La Coruña;A Coruña;España;-8.409627;43.352649
151;Estación Central de Aachen;Aachen;Alemania;6.091253757;50.76774729
30;Estación de Albacete-Los Llanos;Albacete;España;-1.84757;39.000094
7;Estación de Albufeira-Ferreiras;Albufeira;Portugal;-8.232834;37.128649
31;Estación de Alicante;Alicante;España;-0.496491;38.345249
28;Estación de Almería;Almería;España;-2.436316;36.883689
105;Estación Central de Amersfoort;Amersfoort;Holanda;5.374060571;52.15388396
64;Estación de Amiens;Amiens;Francia;2.312704;49.890563
100;Estación Central de Amsterdam;Amsterdam;Holanda;4.90057826;52.37890832
122;Estación de Ancona;Ancona;Italia;13.497719;43.607572
94;Estación Central de Antwerpen;Antwerpen;Bélgica;4.421138763;51.2160778
104;Estación Central de Arnhem;Arnhem;Holanda;5.901270211;51.98450516
140;Estación Central de Augsburg;Augsburg;Alemania;10.885552;48.36543
51;Estación de Avignon TGV;Avignon;Francia;4.786111;43.921686
23;Estación de Badajoz;Badajoz;España;-6.981814;38.890879
34;Estación de Barcelona Sants;Barcelona;España;2.140367;41.378911
115;Estación Central de Bari;Bari;Italia;16.870172;41.117716
110;Estación de Basel SBB;Basel;Suiza;7.589181;47.547113
39;Estación de Bayonne;Bayonne;Francia;-1.470401;43.497072
167;Estación de Bebra;Bebra;Alemania;9.797707;50.969167
176;Estación Central de Berlin;Berlin;Alemania;13.369615;52.525636
109;Estación de Bern;Bern;Suiza;7.438481;46.949116
72;Estación de Besancon;Besancon;Francia;6.020345;47.24615
44;Estación de Béziers;Béziers;Francia;3.218849;43.336173
19;Estación de Bilbao;Bilbao;España;-2.928650379;43.25990913
81;Estación de Birmingham New Street;Birmingham;Gran Bretaña;-1.898375;52.478142
124;Estación Central de Bologna;Bologna;Italia;11.343402;44.506112
131;Estación de Bolzano;Bolzano;Italia;11.358798;46.496359
152;Estación Central de Bonn;Bonn;Alemania;7.097143;50.73203
42;Estación de Bordeaux-Saint-Jean;Bordeaux;Francia;-0.556116;44.825659
1;Estacion de Braga;Braga;Portugal;-8.434451;41.548157
177;Estación Central de Braunschweig;Braunschweig;Alemania;10.539697;52.252238
180;Estación Central de Bremen;Bremen;Alemania;8.813652992;53.08336006
56;Estación de Brest-Tsentralny;Brest;Francia;-4.4789;48.388098
113;Estación de Brindisi;Brindisi;Italia;17.939157;40.634169
78;Estación Bristol Temple Meads;Bristol;Gran Bretaña;-2.58111;51.448573
91;Estación de Brugge;Brugge;Bélgica;3.217093;51.197257
93;Estación Central de Bruxelles;Bruxelles;Bélgica;4.357086;50.845477
17;Estación de Burgos Rosa de Lima;Burgos;España;-3.666297;42.371187
25;Estación de Cádiz;Cádiz;España;-6.286902;36.527935
59;Estación de Caen;Caen;Francia;-0.347665;49.176543
79;Estación Central de Cardiff;Cardiff;Gran Bretaña;-3.177835;51.475434
33;Estación de Castellón de la Plana;Castellón;España;-0.05195;39.988149
70;Estación de Charleville Mézieres;Charleville Mézieres;Francia;4.725225;49.767762
169;Estación Central de Chemnitz;Chemnitz;Alemania;12.930618;50.839139
